  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    15      0           0         133   Coal      0     -1      7537570.6      2.0005648  2.6541242e-07      1883860.6      1.0125     -1
    15      1         133      167.44   Coal      0     -1      3976059.7   0.0034676087  8.7212188e-10  5.7331436e+08      1.0157     -1
    15      2      167.44      210.79   Coal      0     -1      6284789.2      47.621831  7.5773155e-06       65986.43      1.0247     -1
    15      3      210.79      265.37   Coal      0     -1      9897448.9      70.578662  7.1309953e-06      70116.439      1.0341     -1
    15      4      265.37      334.09   Coal      0     -1       15553698      237.90404  1.5295658e-05      32689.016      1.0547     -1
    15      5      334.09      420.59   Coal      0     -1       24289826       447.7032  1.8431717e-05      27127.152      1.0807     -1
    15      6      420.59       529.5   Coal      0     -1       37715983      874.43692  2.3184784e-05      21565.869      1.1242     -1
    15      7       529.5       666.6   Coal      0     -1       57602320      2150.3964  3.7331767e-05      13393.419      1.1459     -1
    15      8       666.6       839.2   Coal      0     -1       85229417        4400.56  5.1631938e-05      9683.9285       1.183     -1
    15      9       839.2      1056.5   Coal      0     -1  1.1992657e+08           9074  7.5662965e-05      6608.2528      1.2393     -1
    15     10      1056.5        1330   Coal      0     -1  1.5850378e+08       14567.95  9.1909164e-05      5440.1539      1.2811     -1
    15     11        1330      1674.4   Coal      0     -1  1.9305698e+08       22169.09  0.00011483185      4354.1927      1.3514     -1
    15     12      1674.4        2108   Coal      0     -1  2.1967344e+08       25678.99   0.0001168962      4277.2992      1.3951     -1
    15     13        2108      2653.8   Coal      0     -1  2.4585547e+08       26607.18  0.00010822285      4620.0964      1.4338     -1
    15     14      2653.8        3341   Coal      0     -1  2.7907905e+08       25500.58  9.1374038e-05      5472.0139      1.5465     -1
    15     15        3341      4206.1   Coal      0     -1  3.3163371e+08       23447.64  7.0703429e-05      7071.7928      1.7296     -1
    15     16      4206.1      5295.2   Coal      0     -1  4.2278918e+08       20446.14   4.836013e-05      10339.095      1.9632     -1
    15     17      5295.2      6666.2   Coal      0     -1  5.7863623e+08       18198.07  3.1449932e-05      15898.286      2.4165     -1
    15     18      6666.2      8392.3   Coal      0     -1  8.3214504e+08       17417.36  2.0930678e-05       23888.38      2.7471     -1
    15     19      8392.3       10565   Coal      0     -1  1.2168184e+09       20319.74  1.6699073e-05      29941.782      3.4123     -1
