  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
     0      0           0         133   Coal      0     -1      1914457.8      8.0773737  4.2191442e-06      118507.44      1.0067     -1
     0      0           0         133   Coal      1     -1      1982440.6      7.0248096  3.5435158e-06       141102.8      1.0068     -1
     0      1         133      167.44   Coal      0     -1      1026871.8      4.4794605  4.3622393e-06      114620.03      1.0091     -1
     0      1         133      167.44   Coal      1     -1      1056561.6        7.30867  6.9174098e-06       72281.39      1.0099     -1
     0      2      167.44      210.79   Coal      0     -1      1608550.6      19.390273    1.20545e-05      41478.288      1.0108     -1
     0      2      167.44      210.79   Coal      1     -1      1660575.7      9.3447586  5.6274209e-06       88850.65      1.0112     -1
     0      3      210.79      265.37   Coal      0     -1      2539052.4      16.388747  6.4546704e-06      77463.289      1.0139     -1
     0      3      210.79      265.37   Coal      1     -1      2614215.9      25.808529  9.8723785e-06      50646.357      1.0138     -1
     0      4      265.37      334.09   Coal      0     -1      4014846.7       84.15634  2.0961284e-05      23853.501        1.03     -1
     0      4      265.37      334.09   Coal      1     -1      4124119.7      69.977815   1.696794e-05      29467.337      1.0296     -1
     0      5      334.09      420.59   Coal      0     -1      6294209.9      169.25486  2.6890565e-05      18593.882      1.0404     -1
     0      5      334.09      420.59   Coal      1     -1      6491265.2       185.0556  2.8508403e-05      17538.688      1.0396     -1
     0      6      420.59       529.5   Coal      0     -1      9729628.8      461.78894  4.7462133e-05      10534.714      1.0574     -1
     0      6      420.59       529.5   Coal      1     -1       10140582      447.81842  4.4161017e-05      11322.203      1.0577     -1
     0      7       529.5       666.6   Coal      0     -1       14695916      1097.2171  7.4661363e-05      6696.9042      1.0971     -1
     0      7       529.5       666.6   Coal      1     -1       15395998         1291.9  8.3911417e-05      5958.6647      1.0975     -1
     0      8       666.6       839.2   Coal      0     -1       21679191      1708.9936   7.883106e-05      6342.6776      1.1272     -1
     0      8       666.6       839.2   Coal      1     -1       22768630      1932.2269  8.4863555e-05      5891.8107      1.1281     -1
     0      9       839.2      1056.5   Coal      0     -1       31443229      2615.5665  8.3183775e-05      6010.7875      1.1759     -1
     0      9       839.2      1056.5   Coal      1     -1       32944734      2945.3929  8.9404056e-05      5592.5874      1.1784     -1
     0     10      1056.5        1330   Coal      0     -1       44733556        3611.73  8.0738719e-05      6192.8156      1.2555     -1
     0     10      1056.5        1330   Coal      1     -1       46423095      4083.0869  8.7953783e-05      5684.8038      1.2568     -1
     0     11        1330      1674.4   Coal      0     -1       61685353        5112.68  8.2883208e-05       6032.585      1.3188     -1
     0     11        1330      1674.4   Coal      1     -1       63972877      5642.4059  8.8199971e-05      5668.9361      1.3182     -1
     0     12      1674.4        2108   Coal      0     -1       82258072        6697.74  8.1423499e-05      6140.7334      1.4301     -1
     0     12      1674.4        2108   Coal      1     -1       84611245        7272.77  8.5955123e-05      5816.9889      1.4299     -1
     0     13        2108      2653.8   Coal      0     -1  1.0686623e+08        8355.92  7.8190462e-05      6394.6418      1.5103     -1
     0     13        2108      2653.8   Coal      1     -1  1.0832579e+08         8984.9  8.2943317e-05      6028.2132      1.5103     -1
     0     14      2653.8        3341   Coal      0     -1  1.3517867e+08       10115.24  7.4828668e-05      6681.9311      1.6204     -1
     0     14      2653.8        3341   Coal      1     -1  1.3419019e+08       10553.11  7.8642935e-05      6357.8502      1.6298     -1
     0     15        3341      4206.1   Coal      0     -1  1.6512954e+08       11733.61  7.1057002e-05      7036.6042      1.7445     -1
     0     15        3341      4206.1   Coal      1     -1  1.6504147e+08       12140.47  7.3560118e-05      6797.1615      1.7499     -1
     0     16      4206.1      5295.2   Coal      0     -1  2.0169514e+08       13280.81   6.584596e-05      7593.4803      2.0402     -1
     0     16      4206.1      5295.2   Coal      1     -1  2.0200253e+08       13664.78  6.7646579e-05      7391.3568      2.0383     -1
     0     17      5295.2      6666.2   Coal      0     -1  2.4482997e+08       15278.59  6.2404901e-05      8012.1912      2.3833     -1
     0     17      5295.2      6666.2   Coal      1     -1  2.4630225e+08       15540.44  6.3094999e-05      7924.5584      2.3703     -1
     0     18      6666.2      8392.3   Coal      0     -1   3.096025e+08       12812.75  4.1384517e-05      12081.813      2.6028     -1
     0     18      6666.2      8392.3   Coal      1     -1  3.1071518e+08       12776.36  4.1119202e-05      12159.769      2.5876     -1
     0     19      8392.3       10565   Coal      0     -1   4.270111e+08       11344.83  2.6567998e-05      18819.634      3.3177     -1
     0     19      8392.3       10565   Coal      1     -1  4.2923714e+08       11389.67   2.653468e-05      18843.265       3.316     -1
     0     20       10565       13301   Coal      0     -1  6.1262696e+08       11640.07  1.9000258e-05      26315.433      3.9322     -1
     0     20       10565       13301   Coal      1     -1  6.1607851e+08       11628.98  1.8875809e-05      26488.931      3.9397     -1
     0     21       13301       16745   Coal      0     -1  3.2775607e+09       52142.15  1.5908828e-05      31429.091      4.7784     -1
     0     21       13301       16745   Coal      1     -1            200   0.0027948574  1.3974287e-05      35780.001           1     -1
     0     22       16745       21081   Coal      0     -1  4.1761589e+09        66340.1  1.5885435e-05      31475.374      5.7561     -1
     0     22       16745       21081   Coal      1     -1            200   0.0029113098  1.4556549e-05      34348.801           1     -1
     0     23       21081       26539   Coal      0     -1  5.0443479e+09       93707.84  1.8576799e-05      26915.293      6.6944     -1
     0     23       21081       26539   Coal      1     -1            200   0.0034935718  1.7467859e-05          28624           1     -1
