  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    25      0           0         133   Coal      0     -1      1939062.7  9.4941268e-53  4.8962454e-59  1.9390627e+36      1.0235     -1
    25      0           0         133   Coal      1     -1      1989830.3  5.6173486e-72   2.823029e-78  1.9898303e+36      1.0215     -1
    25      1         133      167.44   Coal      0     -1      1025160.5  1.7209084e-18  1.6786722e-24  2.9785446e+23      1.0218     -1
    25      1         133      167.44   Coal      1     -1      1086053.1  2.3997292e-74  2.2095873e-80  1.0860531e+36      1.0199     -1
    25      2      167.44      210.79   Coal      0     -1      1619231.7      6.8760823  4.2465091e-06      117743.77      1.0218     -1
    25      2      167.44      210.79   Coal      1     -1      1711077.7  8.0241536e-63   4.689532e-69  1.7110777e+36      1.0204     -1
    25      3      210.79      265.37   Coal      0     -1      2575204.4  2.8915438e-38  1.1228405e-44  2.5752042e+36      1.0212     -1
    25      3      210.79      265.37   Coal      1     -1        2718733   4.897383e-34  1.8013476e-40  2.7160726e+36      1.0203     -1
    25      4      265.37      334.09   Coal      0     -1      4063407.7      52.882178  1.3014244e-05      38419.443      1.0403     -1
    25      4      265.37      334.09   Coal      1     -1      4276168.2  1.2110197e-50  2.8320206e-57  4.2761682e+36      1.0394     -1
    25      5      334.09      420.59   Coal      0     -1        6393770      30.705461  4.8024032e-06      104114.54      1.0653     -1
    25      5      334.09      420.59   Coal      1     -1      6734141.2      6.0749013  9.0210483e-07      554259.31      1.0642     -1
    25      6      420.59       529.5   Coal      0     -1       10006135      187.26149  1.8714667e-05      26717.013      1.0772     -1
    25      6      420.59       529.5   Coal      1     -1       10680319      75.187876  7.0398528e-06      71024.212      1.0765     -1
    25      7       529.5       666.6   Coal      0     -1       15270445      950.59586    6.22507e-05      8032.0382      1.1225     -1
    25      7       529.5       666.6   Coal      1     -1       16853745      477.54609  2.8334717e-05      17646.197      1.1224     -1
    25      8       666.6       839.2   Coal      0     -1       22599135      1557.3085  6.8910092e-05      7255.8312      1.1633     -1
    25      8       666.6       839.2   Coal      1     -1       25867083      2273.5313  8.7892839e-05      5688.7456      1.1638     -1
    25      9       839.2      1056.5   Coal      0     -1       31365935        4056.91  0.00012934128       3865.742        1.21     -1
    25      9       839.2      1056.5   Coal      1     -1       38078793      5384.6659  0.00014140852      3535.8548      1.2126     -1
    25     10      1056.5        1330   Coal      0     -1       40851863        6671.31  0.00016330492      3061.7572      1.2571     -1
    25     10      1056.5        1330   Coal      1     -1       51164014        9470.15  0.00018509396      2701.3307      1.2603     -1
    25     11        1330      1674.4   Coal      0     -1       50040094        9226.36  0.00018437935      2711.8004      1.3068     -1
    25     11        1330      1674.4   Coal      1     -1       63439326       13781.06  0.00021723213      2301.6853      1.3125     -1
    25     12      1674.4        2108   Coal      0     -1       56701952       12037.34  0.00021229146      2355.2526       1.325     -1
    25     12      1674.4        2108   Coal      1     -1       73302378       17039.45  0.00023245426      2150.9608      1.3304     -1
    25     13        2108      2653.8   Coal      0     -1       62571037       13715.04  0.00021919151      2281.1103       1.359     -1
    25     13        2108      2653.8   Coal      1     -1       79202736       16857.21  0.00021283621      2349.2243      1.3656     -1
    25     14      2653.8        3341   Coal      0     -1       74130959       12708.43  0.00017143215      2916.6057      1.4876     -1
    25     14      2653.8        3341   Coal      1     -1       84063611       15798.02  0.00018792935      2660.5743      1.4944     -1
