  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
     0      0           0         133   Coal      0     -1      1931433.9      13.034462  6.7485932e-06      74089.515      1.0079     -1
     0      0           0         133   Coal      1     -1        1948711      7.0536646  3.6196566e-06      138134.65      1.0073     -1
     0      1         133      167.44   Coal      0     -1      1032137.3      8.2784459  8.0206831e-06       62338.83      1.0097     -1
     0      1         133      167.44   Coal      1     -1      1042081.6      6.0004717  5.7581593e-06      86833.305      1.0089     -1
     0      2      167.44      210.79   Coal      0     -1      1626351.4      10.793788  6.6368113e-06      75337.383       1.011     -1
     0      2      167.44      210.79   Coal      1     -1      1649409.3      10.073838   6.107543e-06      81865.982      1.0105     -1
     0      3      210.79      265.37   Coal      0     -1      2554770.5      21.132041  8.2716004e-06      60447.794      1.0138     -1
     0      3      210.79      265.37   Coal      1     -1      2619377.9      15.900532  6.0703469e-06      82367.616      1.0129     -1
     0      4      265.37      334.09   Coal      0     -1      4033376.8      70.382627   1.745005e-05      28653.213      1.0273     -1
     0      4      265.37      334.09   Coal      1     -1      4114244.8      60.758715   1.476789e-05       33857.24      1.0269     -1
     0      5      334.09      420.59   Coal      0     -1      6331898.6      187.92397  2.9678929e-05      16846.969      1.0377     -1
     0      5      334.09      420.59   Coal      1     -1      6431623.7      186.70253  2.9028834e-05      17224.254      1.0375     -1
     0      6      420.59       529.5   Coal      0     -1      9830449.9      436.27938  4.4380408e-05      11266.233      1.0539     -1
     0      6      420.59       529.5   Coal      1     -1        9939576      388.87701  3.9124105e-05      12779.845      1.0549     -1
     0      7       529.5       666.6   Coal      0     -1       15115232      1175.1217  7.7744203e-05      6431.3477      1.0922     -1
     0      7       529.5       666.6   Coal      1     -1       15066097      1039.8073  6.9016368e-05      7244.6582      1.0916     -1
     0      8       666.6       839.2   Coal      0     -1       22475581      1863.2626  8.2901642e-05      6031.2436      1.1207     -1
     0      8       666.6       839.2   Coal      1     -1       22330502      1657.0198  7.4204324e-05      6738.1519       1.121     -1
     0      9       839.2      1056.5   Coal      0     -1       32781752      2741.0998  8.3616636e-05      5979.6713      1.1679     -1
     0      9       839.2      1056.5   Coal      1     -1       32669088      2548.3317  7.8004371e-05      6409.8972      1.1678     -1
     0     10      1056.5        1330   Coal      0     -1       46580544      3961.1639  8.5039021e-05      5879.6538      1.2434     -1
     0     10      1056.5        1330   Coal      1     -1       46304617        3659.54   7.903186e-05      6326.5624       1.243     -1
     0     11        1330      1674.4   Coal      0     -1       64269827      5406.9755  8.4129299e-05      5943.2327      1.3077     -1
     0     11        1330      1674.4   Coal      1     -1       63825278        5225.45  8.1871167e-05      6107.1562      1.3056     -1
     0     12      1674.4        2108   Coal      0     -1       85397106        7046.66   8.251638e-05       6059.403      1.4204     -1
     0     12      1674.4        2108   Coal      1     -1       84775813        6868.54  8.1020043e-05      6171.3125        1.42     -1
     0     13        2108      2653.8   Coal      0     -1  1.1010975e+08        8909.89  8.0918262e-05      6179.0749      1.4979     -1
     0     13        2108      2653.8   Coal      1     -1   1.098531e+08        8625.25  7.8516217e-05      6368.1112      1.4971     -1
     0     14      2653.8        3341   Coal      0     -1  1.3752384e+08       10517.98  7.6481138e-05      6537.5596      1.6069     -1
     0     14      2653.8        3341   Coal      1     -1  1.3760004e+08       10424.02  7.5755939e-05      6600.1426      1.6046     -1
     0     15        3341      4206.1   Coal      0     -1  1.6881681e+08       12208.29  7.2316789e-05      6914.0238      1.7308     -1
     0     15        3341      4206.1   Coal      1     -1  1.6808536e+08        12018.9  7.1504742e-05      6992.5432      1.7315     -1
     0     16      4206.1      5295.2   Coal      0     -1  2.0518172e+08       13810.51  6.7308676e-05      7428.4628      2.0217     -1
     0     16      4206.1      5295.2   Coal      1     -1  2.0409984e+08       13564.67  6.6460955e-05      7523.2142      2.0225     -1
     0     17      5295.2      6666.2   Coal      0     -1  2.4969147e+08       15619.96  6.2557042e-05      7992.7053       2.359     -1
     0     17      5295.2      6666.2   Coal      1     -1  2.4746984e+08       15425.05  6.2331029e-05      8021.6869      2.3686     -1
     0     18      6666.2      8392.3   Coal      0     -1  3.1503102e+08       13039.59  4.1391447e-05       12079.79      2.5702     -1
     0     18      6666.2      8392.3   Coal      1     -1  3.1431574e+08       12825.44  4.0804319e-05      12253.605      2.5771     -1
     0     19      8392.3       10565   Coal      0     -1  4.3503939e+08       11617.53  2.6704548e-05      18723.403       3.286     -1
     0     19      8392.3       10565   Coal      1     -1  4.3311191e+08       11556.48  2.6682434e-05       18738.92      3.3061     -1
     0     20       10565       13301   Coal      0     -1  6.2271387e+08       11935.53  1.9166957e-05      26086.562      3.9182     -1
     0     20       10565       13301   Coal      1     -1  6.2173427e+08        11783.2  1.8952148e-05      26382.234      3.9248     -1
     0     21       13301       16745   Coal      0     -1  3.3191867e+09       52901.59  1.5938118e-05      31371.332      4.7526     -1
