  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    25      0           0         133   Coal      0     -1      1942815.9  1.3377762e-82  6.8857591e-89  1.9428159e+36      1.0189     -1
    25      0           0         133   Coal      1     -1      1928158.4  9.3067576e-55  4.8267599e-61  1.9281584e+36      1.0185     -1
    25      1         133      167.44   Coal      0     -1      1051104.5   9.575783e-86  9.1102099e-92  1.0511045e+36      1.0168     -1
    25      1         133      167.44   Coal      1     -1      1039471.1  9.4578692e-75  9.0987319e-81  1.0394711e+36      1.0161     -1
    25      2      167.44      210.79   Coal      0     -1      1672487.4      2.0015937  1.1967765e-06      417788.94       1.017     -1
    25      2      167.44      210.79   Coal      1     -1      1622537.3  4.9754558e-70  3.0664662e-76  1.6225373e+36       1.016     -1
    25      3      210.79      265.37   Coal      0     -1      2669241.8  1.7444768e-44   6.535477e-51  2.6692418e+36      1.0186     -1
    25      3      210.79      265.37   Coal      1     -1        2549575      2.0647363  8.0983548e-07      617409.35       1.018     -1
    25      4      265.37      334.09   Coal      0     -1      4229162.2      49.796369  1.1774523e-05      42464.564      1.0357     -1
    25      4      265.37      334.09   Coal      1     -1      4054482.9      4.9699321  1.2257869e-06      407901.24      1.0363     -1
    25      5      334.09      420.59   Coal      0     -1      6698277.9      125.86822  1.8791131e-05      26608.297      1.0595     -1
    25      5      334.09      420.59   Coal      1     -1      6393711.1      68.650219  1.0737148e-05      46567.303      1.0598     -1
    25      6      420.59       529.5   Coal      0     -1       10564537      429.89125  4.0691916e-05      12287.453      1.0574     -1
    25      6      420.59       529.5   Coal      1     -1        9966621      89.078434  8.9376765e-06      55942.951       1.058     -1
    25      7       529.5       666.6   Coal      0     -1       16489291      1000.0231   6.064682e-05      8244.4553      1.1209     -1
    25      7       529.5       666.6   Coal      1     -1       15356776      509.59687  3.3183845e-05      15067.573      1.1207     -1
    25      8       666.6       839.2   Coal      0     -1       25297622      2320.7464  9.1737728e-05      5450.3203      1.1696     -1
    25      8       666.6       839.2   Coal      1     -1       23052467      1210.7695  5.2522339e-05      9519.7588      1.1708     -1
    25      9       839.2      1056.5   Coal      0     -1       36566688        4299.62  0.00011758297      4252.3163      1.2278     -1
    25      9       839.2      1056.5   Coal      1     -1       33376127         3633.1  0.00010885325      4593.3399      1.2309     -1
    25     10      1056.5        1330   Coal      0     -1       49382599        8105.65   0.0001641398      3046.1838      1.2316     -1
    25     10      1056.5        1330   Coal      1     -1       44275547        7648.41  0.00017274569      2894.4282       1.235     -1
    25     11        1330      1674.4   Coal      0     -1       60583605       13219.38  0.00021820062      2291.4692      1.2832     -1
    25     11        1330      1674.4   Coal      1     -1       53359964       10722.74  0.00020095104      2488.1683      1.2854     -1
    25     12      1674.4        2108   Coal      0     -1       68534240       15267.09  0.00022276587       2244.509      1.3149     -1
    25     12      1674.4        2108   Coal      1     -1       60533596       12671.69  0.00020933318      2388.5368      1.3172     -1
    25     13        2108      2653.8   Coal      0     -1       73418549       15004.07  0.00020436348      2446.6211      1.3889     -1
    25     13        2108      2653.8   Coal      1     -1       69768291       14544.81  0.00020847307      2398.3913       1.388     -1
    25     14      2653.8        3341   Coal      0     -1       81186905        14433.2  0.00017777744      2812.5054      1.4349     -1
    25     14      2653.8        3341   Coal      1     -1       80011375       13748.76  0.00017183507      2909.7669      1.4366     -1
    25     15        3341      4206.1   Coal      0     -1       96798652       12304.01  0.00012710931      3933.6221      1.6326     -1
    25     15        3341      4206.1   Coal      1     -1       96043035       12798.03  0.00013325308      3752.2586      1.6366     -1
    25     16      4206.1      5295.2   Coal      0     -1  1.2354302e+08          11280  9.1304231e-05      5476.1975      1.8687     -1
    25     16      4206.1      5295.2   Coal      1     -1  1.2426548e+08       11271.73   9.070685e-05      5512.2629      1.8602     -1
    25     17      5295.2      6666.2   Coal      0     -1  1.6532805e+08       12551.92  7.5921298e-05      6585.7673      2.2304     -1
    25     17      5295.2      6666.2   Coal      1     -1  1.6497283e+08       12473.71  7.5610693e-05      6612.8213      2.2088     -1
