  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
     0      0           0         133   Coal      0     -1      1896158.3      9.4136957   4.964615e-06      100712.74      1.0082     -1
     0      0           0         133   Coal      1     -1      1844449.3      13.021792   7.059989e-06       70821.64      1.0079     -1
     0      1         133      167.44   Coal      0     -1      1020369.5      5.7876611  5.6721228e-06      88150.419        1.01     -1
     0      1         133      167.44   Coal      1     -1      991629.42      8.0092433  8.0768512e-06      61905.313      1.0102     -1
     0      2      167.44      210.79   Coal      0     -1      1612716.8      13.114113  8.1316902e-06      61487.832      1.0114     -1
     0      2      167.44      210.79   Coal      1     -1      1574560.8      13.590606  8.6313631e-06      57928.278      1.0113     -1
     0      3      210.79      265.37   Coal      0     -1      2556811.1      19.545617  7.6445292e-06      65406.251      1.0136     -1
     0      3      210.79      265.37   Coal      1     -1      2486391.3      19.457993  7.8257966e-06      63891.259      1.0144     -1
     0      4      265.37      334.09   Coal      0     -1      4013397.7      92.195836  2.2972016e-05      21765.613      1.0273     -1
     0      4      265.37      334.09   Coal      1     -1      3927907.3      83.391062  2.1230405e-05      23551.129      1.0303     -1
     0      5      334.09      420.59   Coal      0     -1      6304676.5      207.60483  3.2928705e-05       15184.32      1.0363     -1
     0      5      334.09      420.59   Coal      1     -1      6139104.4      196.28908   3.197357e-05      15637.916      1.0402     -1
     0      6      420.59       529.5   Coal      0     -1      9773552.4      444.84011   4.551468e-05      10985.467      1.0541     -1
     0      6      420.59       529.5   Coal      1     -1      9543032.6       459.3485  4.8134437e-05      10387.574      1.0579     -1
     0      7       529.5       666.6   Coal      0     -1       14779836      1212.3937  8.2030253e-05      6095.3121      1.0939     -1
     0      7       529.5       666.6   Coal      1     -1       14468905      1200.5552  8.2974843e-05      6025.9228      1.0994     -1
     0      8       666.6       839.2   Coal      0     -1       21903901      1908.4356  8.7127655e-05      5738.7061      1.1247     -1
     0      8       666.6       839.2   Coal      1     -1       21359533      1695.7266  7.9389687e-05      6298.0473      1.1325     -1
     0      9       839.2      1056.5   Coal      0     -1       31779784      2680.1413  8.4334788e-05      5928.7515      1.1744     -1
     0      9       839.2      1056.5   Coal      1     -1       31101681      2552.5838  8.2072212e-05       6092.196      1.1816     -1
     0     10      1056.5        1330   Coal      0     -1       44994452        3939.62  8.7557905e-05      5710.5067      1.2538     -1
     0     10      1056.5        1330   Coal      1     -1       44123096        3692.62   8.368905e-05      5974.4973      1.2649     -1
     0     11        1330      1674.4   Coal      0     -1       61850921        5309.51   8.584367e-05      5824.5413      1.3189     -1
     0     11        1330      1674.4   Coal      1     -1       60707113      4999.3622  8.2352164e-05      6071.4859      1.3298     -1
     0     12      1674.4        2108   Coal      0     -1       82115116         6903.8  8.4074654e-05      5947.0955      1.4351     -1
     0     12      1674.4        2108   Coal      1     -1       81496034        6613.36   8.114947e-05      6161.4697      1.4481     -1
     0     13        2108      2653.8   Coal      0     -1  1.0535229e+08        8241.38  7.8226874e-05      6391.6653      1.5219     -1
     0     13        2108      2653.8   Coal      1     -1  1.0598181e+08        8138.42  7.6790724e-05      6511.2031      1.5294     -1
     0     14      2653.8        3341   Coal      0     -1  1.3315762e+08        10009.8  7.5172568e-05      6651.3625      1.6351     -1
     0     14      2653.8        3341   Coal      1     -1  1.3301878e+08        9877.87  7.4259211e-05      6733.1715      1.6523     -1
     0     15        3341      4206.1   Coal      0     -1  1.6389464e+08       11867.52  7.2409447e-05      6905.1763      1.7656     -1
     0     15        3341      4206.1   Coal      1     -1  1.6441737e+08        11451.6  6.9649577e-05      7178.7945      1.7808     -1
     0     16      4206.1      5295.2   Coal      0     -1  2.0152373e+08       13125.44  6.5130988e-05      7676.8373      2.0591     -1
     0     16      4206.1      5295.2   Coal      1     -1  2.0202175e+08       13260.42  6.5638578e-05      7617.4716        2.08     -1
