  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    25      0           0         133   Coal      0     -1      1978884.1  2.6773358e-90  1.3529523e-96  1.9788841e+36      1.0161     -1
    25      0           0         133   Coal      1     -1      1912458.9  1.4437752e-75  7.5493136e-82  1.9124589e+36      1.0163     -1
    25      1         133      167.44   Coal      0     -1      1059297.6      3.0297574  2.8601568e-06      174815.59      1.0155     -1
    25      1         133      167.44   Coal      1     -1      1030467.4  8.1536764e-60  7.9126002e-66  1.0304674e+36      1.0157     -1
    25      2      167.44      210.79   Coal      0     -1      1689190.5   4.659186e-66  2.7582359e-72  1.6891905e+36      1.0157     -1
    25      2      167.44      210.79   Coal      1     -1      1628123.5  3.9228598e-35  2.4094363e-41  1.6279957e+36      1.0153     -1
    25      3      210.79      265.37   Coal      0     -1      2685328.5  4.2296296e-08  1.5750883e-14  3.1744252e+13      1.0179     -1
    25      3      210.79      265.37   Coal      1     -1      2557092.5      24.658386  9.6431344e-06      51850.361      1.0188     -1
    25      4      265.37      334.09   Coal      0     -1      4268214.4       33.15095  7.7669365e-06      64375.446      1.0355     -1
    25      4      265.37      334.09   Coal      1     -1      4014775.5      94.241595   2.347369e-05      21300.443      1.0364     -1
    25      5      334.09      420.59   Coal      0     -1      6854170.8      65.653524  9.5786239e-06      52199.565      1.0707     -1
    25      5      334.09      420.59   Coal      1     -1      6164110.6      256.44137  4.1602331e-05      12018.557      1.0747     -1
    25      6      420.59       529.5   Coal      0     -1       10988349      453.36486   4.125869e-05      12118.659      1.0876     -1
    25      6      420.59       529.5   Coal      1     -1      9373958.1      464.54152  4.9556603e-05      10089.473      1.0905     -1
    25      7       529.5       666.6   Coal      0     -1       17253726      1457.1953  8.4456846e-05      5920.1832      1.1076     -1
    25      7       529.5       666.6   Coal      1     -1       13753487      1349.6515  9.8131585e-05      5095.1995      1.1074     -1
    25      8       666.6       839.2   Coal      0     -1       26438160      2506.9173  9.4821928e-05      5273.0419      1.1483     -1
    25      8       666.6       839.2   Coal      1     -1       19179530       2403.488  0.00012531527      3989.9367       1.144     -1
    25      9       839.2      1056.5   Coal      0     -1       38257884        5441.99  0.00014224493      3515.0638      1.2116     -1
    25      9       839.2      1056.5   Coal      1     -1       26002210      3823.7382  0.00014705435      3400.1034      1.2032     -1
    25     10      1056.5        1330   Coal      0     -1       51974835        8637.29  0.00016618215      3008.7467      1.2889     -1
    25     10      1056.5        1330   Coal      1     -1       33650106        5621.72  0.00016706396      2992.8657       1.278     -1
    25     11        1330      1674.4   Coal      0     -1       64479678       13054.01  0.00020245154      2469.7268      1.2946     -1
    25     11        1330      1674.4   Coal      1     -1       41779067        8115.77  0.00019425446      2573.9435      1.2845     -1
    25     12      1674.4        2108   Coal      0     -1       72111148       15245.99  0.00021142348      2364.9218      1.3688     -1
    25     12      1674.4        2108   Coal      1     -1       50767548       10374.57  0.00020435436      2446.7302      1.3616     -1
    25     13        2108      2653.8   Coal      0     -1       79548508       15802.35  0.00019865049      2516.9835       1.419     -1
    25     13        2108      2653.8   Coal      1     -1       59206966       11734.02  0.00019818648      2522.8765      1.4142     -1
    25     14      2653.8        3341   Coal      0     -1       87238698       14237.17  0.00016319787      3063.7654       1.521     -1
    25     14      2653.8        3341   Coal      1     -1       71120706       12554.67  0.00017652623      2832.4403      1.5224     -1
    25     15        3341      4206.1   Coal      0     -1  1.0050925e+08       12450.68  0.00012387596      4036.2956      1.6554     -1
    25     15        3341      4206.1   Coal      1     -1       91228228       11034.22  0.00012095182      4133.8775      1.6519     -1
    25     16      4206.1      5295.2   Coal      0     -1  1.2835951e+08        11645.3  9.0724094e-05      5511.2151      1.8784     -1
    25     16      4206.1      5295.2   Coal      1     -1  1.1955523e+08       10775.73  9.0131818e-05      5547.4305      1.8835     -1
    25     17      5295.2      6666.2   Coal      0     -1  1.6786986e+08        12412.7  7.3942398e-05      6762.0204      2.1206     -1
    25     17      5295.2      6666.2   Coal      1     -1  1.6441433e+08       11442.08   6.959296e-05      7184.6348      2.1109     -1
    25     18      6666.2      8392.3   Coal      0     -1  2.3219962e+08       11673.81  5.0274888e-05      9945.3231      2.5234     -1
    25     18      6666.2      8392.3   Coal      1     -1  2.2543923e+08       11073.78   4.912091e-05      10178.965      2.5169     -1
    25     19      8392.3       10565   Coal      0     -1  3.3573225e+08       10141.21  3.0206243e-05      16552.869        2.85     -1
