  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
     0      0           0         133   Coal      0     -1      1917397.9      12.271247  6.3999483e-06      78125.631      1.0072     -1
     0      0           0         133   Coal      1     -1      1909856.1      10.025932  5.2495747e-06      95245.812      1.0077     -1
     0      1         133      167.44   Coal      0     -1      1027346.1      11.022399  1.0729002e-05      46602.656      1.0092     -1
     0      1         133      167.44   Coal      1     -1      1013733.8      9.6522065  9.5214413e-06      52513.058      1.0106     -1
     0      2      167.44      210.79   Coal      0     -1      1614517.6      18.041737  1.1174692e-05      44743.963      1.0108     -1
     0      2      167.44      210.79   Coal      1     -1      1614926.3      14.038226  8.6927968e-06      57518.888       1.012     -1
     0      3      210.79      265.37   Coal      0     -1      2533075.1      22.928125  9.0514981e-06      55239.474      1.0133     -1
     0      3      210.79      265.37   Coal      1     -1      2573520.2       20.11637  7.8166746e-06       63965.82       1.015     -1
     0      4      265.37      334.09   Coal      0     -1      4001985.3      88.776283  2.2183061e-05      22539.721      1.0275     -1
     0      4      265.37      334.09   Coal      1     -1      4046506.2      97.873625  2.4187193e-05      20672.097      1.0306     -1
     0      5      334.09      420.59   Coal      0     -1        6281596      189.26844  3.0130628e-05       16594.41      1.0378     -1
     0      5      334.09      420.59   Coal      1     -1      6389169.7      205.36438  3.2142578e-05      15555.691      1.0406     -1
     0      6      420.59       529.5   Coal      0     -1      9760904.9      461.74287  4.7305334e-05      10569.633      1.0556     -1
     0      6      420.59       529.5   Coal      1     -1      9940060.7      478.12729  4.8101043e-05      10394.785      1.0604     -1
     0      7       529.5       666.6   Coal      0     -1       14773960      1313.5095  8.8907074e-05      5623.8495      1.0942     -1
     0      7       529.5       666.6   Coal      1     -1       14962458      1278.7965  8.5467006e-05      5850.2108      1.0975     -1
     0      8       666.6       839.2   Coal      0     -1       21663149      1881.2488  8.6840966e-05      5757.6513      1.1204     -1
     0      8       666.6       839.2   Coal      1     -1       22216423      1907.2414  8.5848267e-05      5824.2294      1.1247     -1
     0      9       839.2      1056.5   Coal      0     -1       31065496       2668.151  8.5887926e-05        5821.54      1.1754     -1
     0      9       839.2      1056.5   Coal      1     -1       32299576      2846.8457  8.8138793e-05       5672.871      1.1822     -1
     0     10      1056.5        1330   Coal      0     -1       43812819      3888.7785   8.875892e-05      5633.2366      1.2539     -1
     0     10      1056.5        1330   Coal      1     -1       45400067        4064.13  8.9518149e-05      5585.4596      1.2632     -1
     0     11        1330      1674.4   Coal      0     -1       59693592        5346.33  8.9562879e-05        5582.67      1.3193     -1
     0     11        1330      1674.4   Coal      1     -1       61883985        5464.69  8.8305399e-05       5662.168      1.3254     -1
     0     12      1674.4        2108   Coal      0     -1       78946148        6696.52  8.4823898e-05      5894.5652      1.4402     -1
     0     12      1674.4        2108   Coal      1     -1       81499786        6951.55  8.5295316e-05      5861.9866      1.4473     -1
     0     13        2108      2653.8   Coal      0     -1  1.0162537e+08        8371.29  8.2374017e-05      6069.8752      1.5204     -1
     0     13        2108      2653.8   Coal      1     -1  1.0416312e+08        8569.45  8.2269519e-05      6077.5851      1.5253     -1
     0     14      2653.8        3341   Coal      0     -1  1.2759631e+08        9919.57  7.7741826e-05      6431.5444      1.6291     -1
     0     14      2653.8        3341   Coal      1     -1  1.2922704e+08       10097.12  7.8134732e-05      6399.2029       1.639     -1
     0     15        3341      4206.1   Coal      0     -1  1.5605891e+08       11427.49   7.322549e-05      6828.2233      1.7649     -1
     0     15        3341      4206.1   Coal      1     -1  1.5694695e+08       11432.88  7.2845507e-05      6863.8413      1.7797     -1
     0     16      4206.1      5295.2   Coal      0     -1  1.8992491e+08       13086.66  6.8904391e-05      7256.4316      2.0666     -1
     0     16      4206.1      5295.2   Coal      1     -1  1.9047313e+08        12899.4  6.7722938e-05      7383.0229      2.0774     -1
     0     17      5295.2      6666.2   Coal      0     -1  2.3065271e+08       14605.58  6.3322821e-05      7896.0475      2.4234     -1
     0     17      5295.2      6666.2   Coal      1     -1  2.3084241e+08       14581.24  6.3165342e-05      7915.7333       2.446     -1
     0     18      6666.2      8392.3   Coal      0     -1  2.9113398e+08       12236.44  4.2030271e-05      11896.188      2.6617     -1
     0     18      6666.2      8392.3   Coal      1     -1  2.9294083e+08        12177.8  4.1570853e-05      12027.658      2.6769     -1
     0     19      8392.3       10565   Coal      0     -1  4.0107316e+08       10789.61   2.690185e-05      18586.082      3.4372     -1
     0     19      8392.3       10565   Coal      1     -1  4.0421565e+08       10952.11   2.709472e-05       18453.78      3.4582     -1
     0     20       10565       13301   Coal      0     -1  5.8053279e+08       11126.09  1.9165308e-05      26088.805      4.0743     -1
     0     20       10565       13301   Coal      1     -1  5.7746111e+08       11111.08  1.9241261e-05      25985.823      4.1161     -1
     0     21       13301       16745   Coal      0     -1  3.0974726e+09       49556.87  1.5999131e-05      31251.698      4.9833     -1
     0     21       13301       16745   Coal      1     -1            200   0.0027948574  1.3974287e-05      35780.001           1     -1
     0     22       16745       21081   Coal      0     -1  3.9669709e+09       63424.95  1.5988257e-05      31272.952      5.9851     -1
     0     22       16745       21081   Coal      1     -1            200   0.0029113098  1.4556549e-05      34348.801           1     -1
     0     23       21081       26539   Coal      0     -1  4.8151197e+09       89842.21  1.8658355e-05      26797.647      7.0182     -1
     0     23       21081       26539   Coal      1     -1            200   0.0034935718  1.7467859e-05          28624           1     -1
     0     24       26539       33411   Coal      0     -1  5.4101035e+09      116708.84  2.1572386e-05       23177.78      8.4506     -1
     0     24       26539       33411   Coal      1     -1            200   0.0041100846  2.0550423e-05      24330.399           1     -1
     0     25       33411       42063   Coal      0     -1  5.5250838e+09      142776.26  2.5841465e-05      19348.748       9.887     -1
     0     25       33411       42063   Coal      1     -1            200   0.0049908168  2.4954084e-05        20036.8           1     -1
     0     26       42063       52954   Coal      0     -1  5.1201057e+09      153047.22  2.9891418e-05      16727.209       10.79     -1
     0     26       42063       52954   Coal      1     -1            200   0.0058226198  2.9113099e-05        17174.4           1     -1
     0     27       52954       66665   Coal      0     -1  4.2623434e+09      151755.11   3.560368e-05      14043.492      13.258     -1
     0     27       52954       66665   Coal      1     -1            200   0.0069871436  3.4935718e-05          14312           1     -1
     0     28       66665       83927   Coal      0     -1  3.1608286e+09       122507.1  3.8757907e-05      12900.594      14.479     -1
     0     28       66665       83927   Coal      1     -1            200   0.0076781798  3.8390899e-05       13023.92           1     -1
     0     29       83927  1.0566e+05   Coal      0     -1  2.7763746e+09       60481.69  2.1784412e-05      22952.191      18.653     -1
     0     29       83927  1.0566e+05   Coal      1     -1            200   0.0043669648  2.1834824e-05        22899.2           1     -1
     0     30  1.0566e+05  1.3302e+05   Coal      0     -1  2.6683981e+09       57207.84   2.143902e-05      23321.962      22.419     -1
     0     30  1.0566e+05  1.3302e+05   Coal      1     -1            200   0.0043669648  2.1834824e-05        22899.2           1     -1
     0     31  1.3302e+05       1e+99   Coal      0     -1  5.0852182e+09       107758.4  2.1190516e-05      23595.461      28.214     -1
     0     31  1.3302e+05       1e+99   Coal      1     -1            200   0.0043669648  2.1834824e-05        22899.2           1     -1
     0     -1           0       1e+99  Delay     -1     -1  2.6333944e+09              0              0              0           1     -1
     0     -1           0       1e+99   LogL     -1     -1              1      -37497020      -37497020              0           1     -1
     0      0           0         133   Migr      0      1      543905.22      72.761926  0.00013377685              0      1.0073     -1
     0      0           0         133   Migr      1      0      544007.72      78.614507  0.00014450991              0      1.0077     -1
     0      1         133      167.44   Migr      0      1      256352.91      29.992319  0.00011699621              0      1.0092     -1
     0      1         133      167.44   Migr      1      0      254514.14      32.835735   0.0001290134              0      1.0106     -1
     0      2      167.44      210.79   Migr      0      1      402786.25      63.547485  0.00015776975              0      1.0107     -1
     0      2      167.44      210.79   Migr      1      0      403704.94      57.527953      0.0001425              0      1.0121     -1
     0      3      210.79      265.37   Migr      0      1      631714.02       80.72169  0.00012778201              0      1.0133     -1
     0      3      210.79      265.37   Migr      1      0      640845.45      86.353658  0.00013474958              0      1.0151     -1
     0      4      265.37      334.09   Migr      0      1         997018      121.96156  0.00012232634              0      1.0276     -1
     0      4      265.37      334.09   Migr      1      0      1006314.7      134.72095  0.00013387556              0      1.0306     -1
     0      5      334.09      420.59   Migr      0      1      1566760.2      216.20593  0.00013799554              0      1.0379     -1
     0      5      334.09      420.59   Migr      1      0      1586299.5      207.65644   0.0001309062              0      1.0404     -1
     0      6      420.59       529.5   Migr      0      1      2436414.6       574.1282   0.0002356447              0      1.0562     -1
     0      6      420.59       529.5   Migr      1      0      2470105.9       605.9976  0.00024533264              0      1.0599     -1
     0      7       529.5       666.6   Migr      0      1      3698216.7      849.09138  0.00022959481              0      1.0946     -1
     0      7       529.5       666.6   Migr      1      0      3743002.9      851.39709  0.00022746365              0      1.0977     -1
     0      8       666.6       839.2   Migr      0      1      5504068.9      1274.7644  0.00023160401              0      1.1211     -1
     0      8       666.6       839.2   Migr      1      0      5589887.2      1250.6033  0.00022372604              0      1.1259     -1
     0      9       839.2      1056.5   Migr      0      1        8052714      1767.7087  0.00021951713              0      1.1777     -1
     0      9       839.2      1056.5   Migr      1      0      8223209.2      1707.6905  0.00020766716              0      1.1846     -1
     0     10      1056.5        1330   Migr      0      1       11646469      2303.7018   0.0001978026              0      1.2604     -1
     0     10      1056.5        1330   Migr      1      0       11835629      2422.1704  0.00020465075              0      1.2678     -1
