  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    25      0           0         133   Coal      0     -1      2025876.9  5.3313476e-84  2.6316246e-90  2.0258769e+36      1.0126     -1
    25      0           0         133   Coal      1     -1      1951120.7  3.6144966e-75  1.8525234e-81  1.9511207e+36      1.0132     -1
    25      1         133      167.44   Coal      0     -1      1088372.6  2.9642394e-72   2.723552e-78  1.0883726e+36      1.0115     -1
    25      1         133      167.44   Coal      1     -1      1057470.4       17.30158  1.6361289e-05      30559.939      1.0125     -1
    25      2      167.44      210.79   Coal      0     -1      1741310.3      3.0698675  1.7629641e-06      283613.26      1.0257     -1
    25      2      167.44      210.79   Coal      1     -1      1656949.9  1.0111708e-46  6.1026032e-53  1.6569499e+36      1.0262     -1
    25      3      210.79      265.37   Coal      0     -1      2756458.5      31.939252  1.1587061e-05      43151.581      1.0229     -1
    25      3      210.79      265.37   Coal      1     -1      2647592.2  4.4949184e-24  1.6977382e-30  2.9450945e+29      1.0233     -1
    25      4      265.37      334.09   Coal      0     -1        4291780       43.69291  1.0180604e-05      49113.002      1.0502     -1
    25      4      265.37      334.09   Coal      1     -1      4264440.9      93.894386  2.2017983e-05      22708.711      1.0492     -1
    25      5      334.09      420.59   Coal      0     -1      6744927.9      152.45111  2.2602333e-05       22121.61      1.0691     -1
    25      5      334.09      420.59   Coal      1     -1      6703703.2       121.2569  1.8088048e-05      27642.563      1.0674     -1
    25      6      420.59       529.5   Coal      0     -1       10537074      461.04922  4.3754956e-05      11427.277      1.0703     -1
    25      6      420.59       529.5   Coal      1     -1       10515226      266.41202  2.5335834e-05      19734.894      1.0686     -1
    25      7       529.5       666.6   Coal      0     -1       16132106       1451.898  9.0000528e-05       5555.523      1.1331     -1
    25      7       529.5       666.6   Coal      1     -1       15863718      1367.1775  8.6182671e-05      5801.6304      1.1319     -1
    25      8       666.6       839.2   Coal      0     -1       23730959      3069.8876  0.00012936214      3865.1185      1.1513     -1
    25      8       666.6       839.2   Coal      1     -1       22408113      3344.5005    0.000149254       3349.994       1.149     -1
    25      9       839.2      1056.5   Coal      0     -1       33387620        4989.69  0.00014944731      3345.6608      1.1998     -1
    25      9       839.2      1056.5   Coal      1     -1       30277792      5061.3128  0.00016716254      2991.1007       1.196     -1
    25     10      1056.5        1330   Coal      0     -1       42789622        8323.81  0.00019452871      2570.3147      1.2498     -1
    25     10      1056.5        1330   Coal      1     -1       39621059        7877.74  0.00019882709      2514.7478      1.2415     -1
    25     11        1330      1674.4   Coal      0     -1       50899335       11513.79  0.00022620708      2210.3641      1.2923     -1
    25     11        1330      1674.4   Coal      1     -1       48180920       10948.19  0.00022723082      2200.4057      1.2827     -1
    25     12      1674.4        2108   Coal      0     -1       59752747       13660.68  0.00022862012      2187.0341      1.3504     -1
