  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    30      0           0         133   Coal      0     -1      1654659.8  9.6392799e-05  5.8255358e-11  8.5829015e+09      1.0067     -1
    30      0           0         133   Coal      1     -1      1504254.7      7.0140682  4.6628196e-06      107231.25      1.0071     -1
    30      1         133      167.44   Coal      0     -1      883946.04      11.024931  1.2472403e-05      40088.505      1.0074     -1
    30      1         133      167.44   Coal      1     -1      785385.69      1.0005799  1.2739981e-06      392465.25       1.008     -1
    30      2      167.44      210.79   Coal      0     -1      1386696.8      3.0172849  2.1758793e-06      229792.16      1.0096     -1
    30      2      167.44      210.79   Coal      1     -1      1239215.2      4.9975727  4.0328531e-06       123981.7      1.0102     -1
    30      3      210.79      265.37   Coal      0     -1      2179865.6      49.683978   2.279222e-05       21937.31      1.0123     -1
    30      3      210.79      265.37   Coal      1     -1      1939801.5       33.39219   1.721423e-05      29045.737      1.0143     -1
    30      4      265.37      334.09   Coal      0     -1      3438319.8      14.200102  4.1299537e-06      121066.73      1.0156     -1
    30      4      265.37      334.09   Coal      1     -1      3049888.6      54.708267  1.7937792e-05       27874.11      1.0174     -1
    30      5      334.09      420.59   Coal      0     -1      5424880.9      1.6805544  3.0978642e-07      1614015.2      1.0277     -1
    30      5      334.09      420.59   Coal      1     -1      4783381.7      183.57333  3.8377312e-05      13028.531      1.0311     -1
    30      6      420.59       529.5   Coal      0     -1      8562499.1      84.263061  9.8409425e-06      50808.142      1.0452     -1
    30      6      420.59       529.5   Coal      1     -1      7510036.1      185.91507  2.4755549e-05      20197.492      1.0501     -1
    30      7       529.5       666.6   Coal      0     -1       13379264      467.52157  3.4943744e-05      14308.713      1.0534     -1
    30      7       529.5       666.6   Coal      1     -1       11764894      245.96105  2.0906354e-05      23916.174      1.0589     -1
    30      8       666.6       839.2   Coal      0     -1       20464941      1194.5367  5.8369907e-05      8566.0578      1.0801     -1
    30      8       666.6       839.2   Coal      1     -1       18152039      743.39314  4.0953699e-05      12208.909      1.0881     -1
    30      9       839.2      1056.5   Coal      0     -1       30357725       2852.667  9.3968405e-05      5320.9374      1.1349     -1
    30      9       839.2      1056.5   Coal      1     -1       27722470      809.95548   2.921657e-05      17113.577       1.149     -1
    30     10      1056.5        1330   Coal      0     -1       42945508      5698.4365  0.00013268993      3768.1835      1.1639     -1
    30     10      1056.5        1330   Coal      1     -1       41948131      1171.0195  2.7915893e-05      17910.944      1.1844     -1
    30     11        1330      1674.4   Coal      0     -1       58089143        9081.07   0.0001563299      3198.3645      1.2139     -1
    30     11        1330      1674.4   Coal      1     -1       61191655       2157.453  3.5257307e-05      14181.458      1.2449     -1
    30     12      1674.4        2108   Coal      0     -1       78347236       12069.66  0.00015405342      3245.6273      1.2583     -1
    30     12      1674.4        2108   Coal      1     -1       84739128      2906.2214  3.4296097e-05      14578.918      1.2952     -1
    30     13        2108      2653.8   Coal      0     -1  1.0652154e+08        13555.7  0.00012725783      3929.0313       1.351     -1
    30     13        2108      2653.8   Coal      1     -1  1.1410885e+08        4148.27  3.6353623e-05      13753.788      1.3915     -1
    30     14      2653.8        3341   Coal      0     -1  1.4154459e+08       17749.71  0.00012540013      3987.2367      1.4235     -1
    30     14      2653.8        3341   Coal      1     -1  1.5228954e+08        5780.27  3.7955791e-05       13173.22      1.4644     -1
    30     15        3341      4206.1   Coal      0     -1  1.8354889e+08       17042.03  9.2847361e-05      5385.1827      1.5507     -1
    30     15        3341      4206.1   Coal      1     -1  2.0565777e+08        8764.33   4.261609e-05      11732.658      1.5822     -1
    30     16      4206.1      5295.2   Coal      0     -1  2.4180287e+08       17561.27  7.2626391e-05      6884.5497      1.7082     -1
    30     16      4206.1      5295.2   Coal      1     -1  2.7623976e+08        11873.1  4.2981141e-05      11633.009      1.7252     -1
    30     17      5295.2      6666.2   Coal      0     -1  3.2255155e+08       18299.69  5.6734156e-05      8813.0332      1.9858     -1
    30     17      5295.2      6666.2   Coal      1     -1   3.704422e+08       14697.99  3.9676878e-05      12601.798       1.996     -1
    30     18      6666.2      8392.3   Coal      0     -1  4.4365977e+08       16928.05  3.8155477e-05      13104.279      2.2404     -1
    30     18      6666.2      8392.3   Coal      1     -1  5.0331746e+08       16376.25  3.2536622e-05      15367.299      2.2468     -1
    30     19      8392.3       10565   Coal      0     -1  6.3777544e+08       17051.18  2.6735398e-05      18701.798      2.6545     -1
    30     19      8392.3       10565   Coal      1     -1  6.9458095e+08       17934.74   2.582095e-05      19364.121      2.6535     -1
    30     20       10565       13301   Coal      0     -1  9.4403779e+08       18300.17  1.9384997e-05      25793.143      3.0913     -1
    30     20       10565       13301   Coal      1     -1  9.7485609e+08       18608.34  1.9088294e-05      26194.064      3.1022     -1
    30     21       13301       16745   Coal      0     -1  5.0001436e+09       84927.44     1.6985e-05      29437.739      3.5858     -1
    30     21       13301       16745   Coal      1     -1            200       9.503739    0.047518695      10.522174           1     -1
    30     22       16745       21081   Coal      0     -1  6.0198307e+09      103756.73  1.7235822e-05      29009.351      4.1771     -1
    30     22       16745       21081   Coal      1     -1            200       9.503844     0.04751922      10.522058           1     -1
