  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
     0      0           0         133   Coal      0     -1        1880311      8.0541071  4.2833909e-06      116729.95      1.0062     -1
     0      0           0         133   Coal      1     -1      1638057.5      11.015175  6.7245349e-06      74354.584      1.0078     -1
     0      1         133      167.44   Coal      0     -1      1000588.8      5.0048621   5.001917e-06      99961.675      1.0073     -1
     0      1         133      167.44   Coal      1     -1      865409.44       6.035963  6.9746905e-06      71687.769      1.0092     -1
     0      2      167.44      210.79   Coal      0     -1      1586484.4      11.035586  6.9560006e-06      71880.384      1.0083     -1
     0      2      167.44      210.79   Coal      1     -1      1369731.3      8.0490425  5.8763662e-06      85086.597      1.0108     -1
     0      3      210.79      265.37   Coal      0     -1        2520189      18.006475  7.1448905e-06      69980.079      1.0103     -1
     0      3      210.79      265.37   Coal      1     -1      2145097.4      22.322405  1.0406243e-05       48048.08      1.0133     -1
     0      4      265.37      334.09   Coal      0     -1      3991570.6      62.016782  1.5536937e-05      32181.375      1.0219     -1
     0      4      265.37      334.09   Coal      1     -1        3363488      36.697535  1.0910559e-05      45827.166      1.0267     -1
     0      5      334.09      420.59   Coal      0     -1        6288181      186.62189    2.96782e-05      16847.383      1.0296     -1
     0      5      334.09      420.59   Coal      1     -1      5252446.4       104.0375  1.9807436e-05      25243.045      1.0358     -1
     0      6      420.59       529.5   Coal      0     -1      9816276.3      438.79103  4.4700355e-05      11185.594      1.0435     -1
     0      6      420.59       529.5   Coal      1     -1      8151442.7      208.20435  2.5542025e-05      19575.582      1.0531     -1
     0      7       529.5       666.6   Coal      0     -1       15023699      1066.7949  7.1007472e-05      7041.5125      1.0731     -1
     0      7       529.5       666.6   Coal      1     -1       12533256      523.56436   4.177401e-05      11969.165      1.0896     -1
     0      8       666.6       839.2   Coal      0     -1       22610079      1702.3855  7.5293212e-05      6640.7049      1.0966     -1
     0      8       666.6       839.2   Coal      1     -1       19011494      827.10049  4.3505286e-05      11492.856      1.1185     -1
     0      9       839.2      1056.5   Coal      0     -1       33476399      2516.2431  7.5164688e-05      6652.0598      1.1348     -1
     0      9       839.2      1056.5   Coal      1     -1       28583154      1245.6998  4.3581606e-05       11472.73      1.1635     -1
     0     10      1056.5        1330   Coal      0     -1       48552541      3535.4515  7.2817024e-05      6866.5262      1.2012     -1
     0     10      1056.5        1330   Coal      1     -1       42872389      1797.1346  4.1918229e-05      11927.985      1.2408     -1
     0     11        1330      1674.4   Coal      0     -1       69644171         5004.3   7.185526e-05      6958.4328      1.2584     -1
     0     11        1330      1674.4   Coal      1     -1       63144913      2788.8413  4.4165731e-05      11320.995      1.3047     -1
     0     12      1674.4        2108   Coal      0     -1       97615326        6682.37  6.8456156e-05       7303.945       1.358     -1
     0     12      1674.4        2108   Coal      1     -1       91478119      4016.0383  4.3901627e-05        11389.1      1.4139     -1
     0     13        2108      2653.8   Coal      0     -1  1.3517778e+08        8519.99  6.3028038e-05      7932.9774      1.4313     -1
