  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    25      0           0         133   Coal      0     -1        1743832  1.8988094e-86  1.0888718e-92   1.743832e+36      1.0113     -1
    25      0           0         133   Coal      1     -1      1630026.2  7.7437098e-82  4.7506659e-88  1.6300262e+36      1.0121     -1
    25      1         133      167.44   Coal      0     -1      936451.15  4.5435328e-76  4.8518631e-82  9.3645115e+35      1.0107     -1
    25      1         133      167.44   Coal      1     -1      858853.09      33.343658  3.8823471e-05      12878.807      1.0115     -1
    25      2      167.44      210.79   Coal      0     -1      1488279.7   1.960241e-83  1.3171187e-89  1.4882797e+36      1.0142     -1
    25      2      167.44      210.79   Coal      1     -1      1346332.5  2.1194946e-05  1.5742727e-11  3.1760697e+10      1.0145     -1
    25      3      210.79      265.37   Coal      0     -1      2359979.2      27.502406  1.1653664e-05       42904.96       1.022     -1
    25      3      210.79      265.37   Coal      1     -1      2127118.2      13.046628   6.133476e-06      81519.843      1.0229     -1
    25      4      265.37      334.09   Coal      0     -1        3737467      15.381458  4.1154766e-06      121492.61      1.0246     -1
    25      4      265.37      334.09   Coal      1     -1      3334117.9       40.23757   1.206843e-05      41430.409      1.0257     -1
    25      5      334.09      420.59   Coal      0     -1      5916579.5      74.181177  1.2537848e-05      39879.251      1.0322     -1
    25      5      334.09      420.59   Coal      1     -1      5262945.7      57.844814  1.0990958e-05      45491.941      1.0358     -1
    25      6      420.59       529.5   Coal      0     -1      9347938.8      117.30239  1.2548476e-05      39845.476      1.0723     -1
    25      6      420.59       529.5   Coal      1     -1      8246030.4      235.63585  2.8575671e-05      17497.402      1.0806     -1
    25      7       529.5       666.6   Coal      0     -1       14623473      408.17809  2.7912528e-05      17913.103      1.1023     -1
    25      7       529.5       666.6   Coal      1     -1       12728261      597.90254  4.6974408e-05      10644.094       1.112     -1
    25      8       666.6       839.2   Coal      0     -1       22482472      1357.6476  6.0386936e-05      8279.9366      1.0989     -1
    25      8       666.6       839.2   Coal      1     -1       19498834      503.54367  2.5824296e-05      19361.612      1.1094     -1
    25      9       839.2      1056.5   Coal      0     -1       33697216      2973.1438  8.8231139e-05      5666.9335      1.1595     -1
    25      9       839.2      1056.5   Coal      1     -1       29768867      806.23346  2.7083108e-05      18461.692      1.1801     -1
    25     10      1056.5        1330   Coal      0     -1       48460147        6152.73  0.00012696474      3938.1012      1.2076     -1
    25     10      1056.5        1330   Coal      1     -1       44066151       1674.402  3.7997465e-05      13158.773      1.2408     -1
    25     11        1330      1674.4   Coal      0     -1       67966935        9963.88  0.00014659893      3410.6661      1.2403     -1
    25     11        1330      1674.4   Coal      1     -1       61908483      2325.9437  3.7570679e-05       13308.25      1.2821     -1
    25     12      1674.4        2108   Coal      0     -1       92139738       13729.54   0.0001490078      3355.5289      1.3322     -1
    25     12      1674.4        2108   Coal      1     -1       85095489      2592.9834  3.0471456e-05      16408.799      1.3824     -1
    25     13        2108      2653.8   Coal      0     -1  1.2180053e+08       17392.09  0.00014279158      3501.6071      1.3934     -1
    25     13        2108      2653.8   Coal      1     -1  1.1333258e+08        4522.96  3.9908734e-05      12528.586       1.444     -1
    25     14      2653.8        3341   Coal      0     -1  1.5604532e+08        17581.8  0.00011267111      4437.6948       1.515     -1
    25     14      2653.8        3341   Coal      1     -1  1.5299249e+08        6219.24  4.0650622e-05      12299.935      1.5644     -1
    25     15        3341      4206.1   Coal      0     -1  1.9688918e+08        17886.5   9.084552e-05      5503.8487      1.5648     -1
    25     15        3341      4206.1   Coal      1     -1  2.1167255e+08        9473.02  4.4753182e-05       11172.39      1.5959     -1
    25     16      4206.1      5295.2   Coal      0     -1  2.5412668e+08       17307.85  6.8107175e-05      7341.3704       1.834     -1
    25     16      4206.1      5295.2   Coal      1     -1   2.899857e+08       12196.59  4.2059281e-05      11887.982      1.8597     -1
    25     17      5295.2      6666.2   Coal      0     -1  3.3944873e+08       19499.82  5.7445552e-05       8703.894      2.1507     -1
    25     17      5295.2      6666.2   Coal      1     -1  3.8359489e+08       16919.53  4.4107808e-05      11335.861      2.1587     -1
    25     18      6666.2      8392.3   Coal      0     -1  4.6763969e+08        16364.7  3.4994249e-05      14288.062      2.3134     -1
    25     18      6666.2      8392.3   Coal      1     -1  5.1039272e+08       16813.22  3.2941732e-05      15178.316       2.314     -1
    25     19      8392.3       10565   Coal      0     -1  6.8410146e+08       15633.73  2.2852941e-05      21879.022      2.9532     -1
