  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    15      0           0         133   Coal      0     -1      8147600.9      2.0012504   2.456245e-07      2035627.6      1.0116     -1
    15      1         133      167.44   Coal      0     -1      4358004.7  5.1062419e-05  1.1716926e-11  4.2673308e+10      1.0229     -1
    15      2      167.44      210.79   Coal      0     -1      6914418.6      2.1101307  3.0517833e-07      1638386.3       1.022     -1
    15      3      210.79      265.37   Coal      0     -1       10951942      8.2781259  7.5585918e-07      661498.88      1.0418     -1
    15      4      265.37      334.09   Coal      0     -1       17299981      18.340705  1.0601576e-06      471628.01      1.0553     -1
    15      5      334.09      420.59   Coal      0     -1       27308140      143.29593  5.2473707e-06      95285.815      1.0792     -1
    15      6      420.59       529.5   Coal      0     -1       42904250      631.85669  1.4727135e-05      33950.934      1.1077     -1
    15      7       529.5       666.6   Coal      0     -1       65849072      2235.5732  3.3949958e-05      14727.559      1.1502     -1
    15      8       666.6       839.2   Coal      0     -1       95978265        6696.04  6.9766212e-05       7166.793      1.2237     -1
    15      9       839.2      1056.5   Coal      0     -1  1.2950072e+08          13279  0.00010253997      4876.1471       1.243     -1
    15     10      1056.5        1330   Coal      0     -1  1.5933366e+08       21044.82  0.00013208019      3785.5792      1.2739     -1
    15     11        1330      1674.4   Coal      0     -1  1.7999707e+08       25749.72  0.00014305633      3495.1267       1.306     -1
    15     12      1674.4        2108   Coal      0     -1  1.9286385e+08       28279.32  0.00014662841      3409.9804      1.3298     -1
    15     13        2108      2653.8   Coal      0     -1  2.0497803e+08       26546.91    0.000129511      3860.6759      1.4135     -1
    15     14      2653.8        3341   Coal      0     -1  2.2825281e+08       23510.44  0.00010300175      4854.2863      1.5481     -1
    15     15        3341      4206.1   Coal      0     -1    2.71644e+08       20729.26  7.6310391e-05      6552.1876      1.7455     -1
    15     16      4206.1      5295.2   Coal      0     -1  3.5010011e+08       17610.24  5.0300585e-05      9940.2423      1.9627     -1
    15     17      5295.2      6666.2   Coal      0     -1  4.8475253e+08       15956.69  3.2917188e-05      15189.633      2.4381     -1
    15     18      6666.2      8392.3   Coal      0     -1  7.0276244e+08       15310.43  2.1786068e-05      22950.448      2.9419     -1
    15     19      8392.3       10565   Coal      0     -1  1.0395331e+09       17590.42  1.6921462e-05      29548.274       3.455     -1
    15     20       10565       13301   Coal      0     -1  1.5284796e+09       22536.35  1.4744292e-05      33911.428       4.276     -1
    15     21       13301       16745   Coal      0     -1  2.1846814e+09       33580.42  1.5370855e-05      32529.096      5.2084     -1
    15     22       16745       21081   Coal      0     -1  2.9444779e+09       52849.66  1.7948737e-05      27857.113      6.2036     -1
    15     23       21081       26539   Coal      0     -1  3.6563188e+09        77917.4  2.1310341e-05      23462.787       7.539     -1
    15     24       26539       33411   Coal      0     -1  4.1125667e+09      105250.59  2.5592434e-05      19537.024      8.7185     -1
    15     25       33411       42063   Coal      0     -1  4.1743794e+09      125272.23  3.0009786e-05      16661.232      10.433     -1
    15     26       42063       52954   Coal      0     -1  3.8853426e+09      128824.01  3.3156409e-05      15080.041      12.995     -1
    15     27       52954       66665   Coal      0     -1  3.4146064e+09      115853.19   3.392871e-05      14736.782      14.936     -1
    15     28       66665       83927   Coal      0     -1  2.9362476e+09       92822.64  3.1612675e-05      15816.441      19.193     -1
    15     29       83927  1.0566e+05   Coal      0     -1  2.5515021e+09       67186.75  2.6332234e-05      18988.134      22.627     -1
    15     30  1.0566e+05  1.3302e+05   Coal      0     -1  2.2947829e+09       47975.04  2.0906134e-05      23916.425      27.619     -1
    15     31  1.3302e+05       1e+99   Coal      0     -1  5.7636848e+09       99633.38  1.7286403e-05      28924.467       32.38     -1
    15     -1           0       1e+99  Delay     -1     -1   2.635486e+09              0              0              0           1     -1
    15     -1           0       1e+99   LogL     -1     -1              1      -34374819      -34374819              0           1     -1
    15     -1           0       1e+99 Recomb     -1     -1           6400  1.9200003e-05  3.0000005e-09              0           1     -1
    15     -1           0       1e+99 Resamp     -1     -1   2.635486e+09        2316016  0.00087878138              0           1     -1
    14      0           0         133   Coal      0     -1      8033260.2      1.0002195  1.2450979e-07      4015748.6      1.0108     -1
    14      1         133      167.44   Coal      0     -1      4337344.2  0.00015376874  3.5452279e-11  1.4103466e+10      1.0199     -1
    14      2      167.44      210.79   Coal      0     -1      6901974.2      4.9533955  7.1767807e-07      696691.21      1.0266     -1
    14      3      210.79      265.37   Coal      0     -1       10959505      9.1347618  8.3350132e-07      599879.07      1.0292     -1
    14      4      265.37      334.09   Coal      0     -1       17357523      19.897347  1.1463241e-06      436176.83      1.0539     -1
    14      5      334.09      420.59   Coal      0     -1       27326110      145.17027  5.3125114e-06      94117.445      1.0661     -1
    14      6      420.59       529.5   Coal      0     -1       42890250      694.72234  1.6197675e-05      30868.627      1.1104     -1
    14      7       529.5       666.6   Coal      0     -1       65858972      2353.8938   3.574143e-05      13989.368      1.1668     -1
    14      8       666.6       839.2   Coal      0     -1       95970378        6753.28  7.0368379e-05      7105.4642      1.1914     -1
    14      9       839.2      1056.5   Coal      0     -1  1.2893624e+08       13131.83  0.00010184747      4909.3022      1.2347     -1
    14     10      1056.5        1330   Coal      0     -1  1.5861005e+08       20783.73  0.00013103666      3815.7262      1.2656     -1
    14     11        1330      1674.4   Coal      0     -1  1.7985915e+08       25593.41  0.00014229696      3513.7785      1.2843     -1
    14     12      1674.4        2108   Coal      0     -1  1.9340174e+08       28074.27  0.00014516038      3444.4661      1.3423     -1
    14     13        2108      2653.8   Coal      0     -1  2.0599996e+08       26752.55  0.00012986677      3850.0995      1.3631     -1
