  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    15      0           0          33   Coal      0     -1         647279  1.2679584e-51  1.9589055e-57    6.47279e+35      1.0081     -1
    15      1          33       65.92   Coal      0     -1      1550545.6  1.8482696e-46  1.1920124e-52  1.5505455e+36      1.0093     -1
    15      2       65.92      104.55   Coal      0     -1      2991716.4  3.3386574e-53  1.1159672e-59  2.9917164e+36      1.0094     -1
    15      3      104.55      131.67   Coal      0     -1        2857687  3.3704858e-44  1.1794454e-50   2.857687e+36      1.0095     -1
    15      4      131.67      165.83   Coal      0     -1      4462575.7  1.7092359e-41  3.8301556e-48  4.4625757e+36      1.0096     -1
    15      5      165.83      208.84   Coal      0     -1      6997920.1  2.7343664e-08  3.9073987e-15  1.2796237e+14      1.0096     -1
    15      6      208.84      263.02   Coal      0     -1       11026509      6.0349235  5.4731042e-07      913558.35      1.0095     -1
    15      7      263.02      331.24   Coal      0     -1       17351161      33.402216   1.925071e-06      259730.68      1.0102     -1
    15      8      331.24      417.17   Coal      0     -1       27368227       136.5237  4.9884012e-06      100232.52      1.0106     -1
    15      9      417.17      525.38   Coal      0     -1       42893088      695.49099  1.6214524e-05      30836.552      1.0116     -1
    15     10      525.38      661.66   Coal      0     -1       65850246      1908.1821    2.89776e-05      17254.707      1.0139     -1
    15     11      661.66       833.3   Coal      0     -1       96695374      6193.7311  6.4054058e-05      7805.9067      1.0226     -1
    15     12       833.3      1049.5   Coal      0     -1  1.3149585e+08       12663.88  9.6306312e-05      5191.7677      1.0244     -1
    15     13      1049.5      1321.7   Coal      0     -1  1.6417898e+08       20498.17  0.00012485258      4004.7229       1.034     -1
    15     14      1321.7      1664.5   Coal      0     -1  1.8320829e+08       29089.48  0.00015877818      3149.0472      1.0381     -1
    15     15      1664.5      2096.3   Coal      0     -1  1.9036055e+08       29842.92   0.0001567705      3189.3755      1.0425     -1
    15     16      2096.3      2640.1   Coal      0     -1  2.0012726e+08       26878.13  0.00013430519      3722.8643      1.0519     -1
    15     17      2640.1      3324.9   Coal      0     -1  2.2325744e+08       23031.36  0.00010316055      4846.8141      1.0736     -1
    15     18      3324.9      4187.4   Coal      0     -1  2.6582406e+08       21047.46  7.9178161e-05      6314.8726      1.1266     -1
    15     19      4187.4      5273.6   Coal      0     -1  3.4555064e+08       16124.21  4.6662364e-05      10715.274      1.2007     -1
    15     20      5273.6      6641.6   Coal      0     -1  4.8764105e+08       14026.58   2.876415e-05      17382.749      1.3271     -1
    15     21      6641.6      8364.4   Coal      0     -1  7.1806696e+08        14569.3  2.0289612e-05      24643.152      1.4712     -1
    15     22      8364.4       10534   Coal      0     -1  1.0630859e+09       16693.42  1.5702796e-05      31841.464      1.6404     -1
    15     23       10534       13267   Coal      0     -1  1.5667095e+09       22359.81  1.4271829e-05      35034.052      1.9119     -1
    15     24       13267       16708   Coal      0     -1  2.2389231e+09       33201.35  1.4829161e-05       33717.35      2.0678     -1
    15     25       16708       21042   Coal      0     -1  3.0265506e+09        52753.9  1.7430371e-05      28685.563      2.4607     -1
    15     26       21042       26500   Coal      0     -1  3.7593628e+09       79537.48  2.1157171e-05      23632.649      2.7701     -1
    15     27       26500       33374   Coal      0     -1  4.2093824e+09      108522.62  2.5781126e-05      19394.032      2.9511     -1
    15     28       33374       42032   Coal      0     -1  4.2271146e+09      129424.88  3.0617784e-05      16330.379      3.1146     -1
    15     29       42032       52935   Coal      0     -1  3.8422507e+09      133419.46  3.4724298e-05      14399.139      3.6523     -1
    15     30       52935       66666   Coal      0     -1  3.1801666e+09      121545.62  3.8219891e-05      13082.193      4.5369     -1
    15     31       66666       1e+99   Coal      0     -1  1.3363518e+10      294691.24  2.2051921e-05      22673.762      7.4588     -1
    15     -1           0       1e+99  Delay     -1     -1  2.6400478e+09              0              0              0           1     -1
    15     -1           0       1e+99   LogL     -1     -1              1      -34378849      -34378849              0           1     -1
    15     -1           0       1e+99 Recomb     -1     -1  3.7308899e+14        1206427  3.2336172e-09              0      2.5714     -1
    15     -1           0       1e+99 Resamp     -1     -1  2.6400478e+09        2303225  0.00087241793              0           1     -1
    14      0           0          33   Coal      0     -1      644817.37   4.088008e-48   6.339792e-54  6.4481737e+35      1.0073     -1
    14      1          33       65.92   Coal      0     -1      1547132.1  1.4297586e-42  9.2413475e-49  1.5471321e+36      1.0088     -1
    14      2       65.92      104.55   Coal      0     -1      2968259.7   4.955001e-49  1.6693286e-55  2.9682597e+36      1.0092     -1
    14      3      104.55      131.67   Coal      0     -1        2839197  4.7847366e-40  1.6852429e-46  2.8391969e+36      1.0093     -1
    14      4      131.67      165.83   Coal      0     -1      4435912.2  3.7910102e-37  8.5461796e-44  4.4359088e+36      1.0092     -1
    14      5      165.83      208.84   Coal      0     -1      6995792.4  0.00095645298  1.3671832e-10  3.6571544e+09      1.0093     -1
    14      6      208.84      263.02   Coal      0     -1       11013200      5.0056459   4.545133e-07      1100077.8      1.0096     -1
    14      7      263.02      331.24   Coal      0     -1       17357643      35.078884  2.0209474e-06      247408.71      1.0099     -1
    14      8      331.24      417.17   Coal      0     -1       27365314      156.31418  5.7121283e-06      87533.048      1.0118     -1
    14      9      417.17      525.38   Coal      0     -1       42764971      737.48534   1.724508e-05      28993.777      1.0132     -1
    14     10      525.38      661.66   Coal      0     -1       65659890      1894.5744  2.8854364e-05      17328.401      1.0153     -1
    14     11      661.66       833.3   Coal      0     -1       96374674        6198.19  6.4313473e-05      7774.4208       1.021     -1
    14     12       833.3      1049.5   Coal      0     -1  1.3152208e+08       12586.72  9.5700432e-05      5224.6368      1.0282     -1
    14     13      1049.5      1321.7   Coal      0     -1  1.6398408e+08        20398.2  0.00012439135      4019.5722      1.0299     -1
    14     14      1321.7      1664.5   Coal      0     -1  1.8295816e+08        28712.3  0.00015693369       3186.059       1.036     -1
    14     15      1664.5      2096.3   Coal      0     -1  1.9032853e+08       29754.37  0.00015633163       3198.329      1.0477     -1
    14     16      2096.3      2640.1   Coal      0     -1  2.0011951e+08       26770.33  0.00013377171       3737.711      1.0485     -1
    14     17      2640.1      3324.9   Coal      0     -1  2.2367153e+08       23262.65  0.00010400363      4807.5247      1.0785     -1
    14     18      3324.9      4187.4   Coal      0     -1  2.6739454e+08       20822.91  7.7873354e-05      6420.6814      1.1087     -1
    14     19      4187.4      5273.6   Coal      0     -1  3.4599136e+08       16470.64  4.7604195e-05      10503.276      1.2025     -1
    14     20      5273.6      6641.6   Coal      0     -1  4.8757316e+08       14177.48  2.9077647e-05      17195.339      1.3332     -1
    14     21      6641.6      8364.4   Coal      0     -1  7.1772318e+08       14592.22  2.0331265e-05      24592.666      1.4665     -1
    14     22      8364.4       10534   Coal      0     -1  1.0646313e+09       16859.81   1.583629e-05      31573.051      1.7028     -1
    14     23       10534       13267   Coal      0     -1  1.5677092e+09       22558.43  1.4389423e-05      34747.745      1.8595     -1
    14     24       13267       16708   Coal      0     -1  2.2378107e+09       33415.21  1.4932098e-05      33484.912      1.9328     -1
    14     25       16708       21042   Coal      0     -1  3.0224943e+09       52881.85  1.7496096e-05      28577.804       2.297     -1
    14     26       21042       26500   Coal      0     -1  3.7518395e+09       79496.82  2.1188758e-05      23597.419      2.5317     -1
    14     27       26500       33374   Coal      0     -1  4.2003803e+09      108370.99  2.5800281e-05      19379.634      2.9191     -1
    14     28       33374       42032   Coal      0     -1  4.2133187e+09      128607.61  3.0524064e-05      16380.518      3.3947     -1
    14     29       42032       52935   Coal      0     -1  3.8392371e+09      132767.23   3.458167e-05      14458.527      3.7781     -1
    14     30       52935       66666   Coal      0     -1  3.1997535e+09      120762.38  3.7741151e-05      13248.139      4.3545     -1
    14     31       66666       1e+99   Coal      0     -1  1.3307306e+10      295942.18  2.2239076e-05      22482.949      7.6952     -1
    14     -1           0       1e+99  Delay     -1     -1  2.6400478e+09              0              0              0           1     -1
    14     -1           0       1e+99   LogL     -1     -1              1      -34378659      -34378659              0           1     -1
    14     -1           0       1e+99 Recomb     -1     -1   3.729787e+14      1206159.3  3.2338558e-09              0      2.5463     -1
    14     -1           0       1e+99 Resamp     -1     -1  2.6400478e+09        2303366  0.00087247133              0           1     -1
    13      0           0          33   Coal      0     -1       644731.8  1.3178344e-44   2.044004e-50   6.447318e+35      1.0068     -1
    13      1          33       65.92   Coal      0     -1      1572112.6  1.1238707e-38   7.148793e-45  1.5721125e+36      1.0082     -1
    13      2       65.92      104.55   Coal      0     -1      3009205.3  7.4553076e-45  2.4775005e-51  3.0092053e+36      1.0087     -1
    13      3      104.55      131.67   Coal      0     -1      2866831.8  6.8585176e-36  2.3923683e-42  2.8667925e+36      1.0087     -1
    13      4      131.67      165.83   Coal      0     -1      4491993.6  8.5145966e-33  1.8955051e-39  4.4167794e+36      1.0088     -1
    13      5      165.83      208.84   Coal      0     -1        7063825      1.0124096  1.4332314e-07      3488620.2      1.0089     -1
    13      6      208.84      263.02   Coal      0     -1       11138225      4.0032386  3.5941442e-07      1391151.8      1.0091     -1
    13      7      263.02      331.24   Coal      0     -1       17549315      36.737701   2.093398e-06      238846.13      1.0101     -1
    13      8      331.24      417.17   Coal      0     -1       27620260      192.90471  6.9841744e-06      71590.423      1.0104     -1
    13      9      417.17      525.38   Coal      0     -1       43058654      796.10798  1.8488919e-05      27043.225      1.0118     -1
    13     10      525.38      661.66   Coal      0     -1       66004417      1958.2831  2.9668971e-05      16852.624      1.0158     -1
    13     11      661.66       833.3   Coal      0     -1       96833550      6333.7741  6.5408881e-05      7644.2219       1.021     -1
    13     12       833.3      1049.5   Coal      0     -1  1.3198596e+08       12615.72  9.5583804e-05      5231.0117      1.0269     -1
    13     13      1049.5      1321.7   Coal      0     -1  1.6425761e+08       20483.83  0.00012470552      4009.4457      1.0317     -1
    13     14      1321.7      1664.5   Coal      0     -1  1.8368517e+08       28701.56   0.0001562541      3199.9161      1.0353     -1
    13     15      1664.5      2096.3   Coal      0     -1  1.9174099e+08       29509.88  0.00015390491      3248.7593      1.0383     -1
    13     16      2096.3      2640.1   Coal      0     -1  2.0164405e+08        26990.1  0.00013385022      3735.5188      1.0515     -1
    13     17      2640.1      3324.9   Coal      0     -1  2.2370406e+08        23465.7  0.00010489617      4766.6181      1.0806     -1
    13     18      3324.9      4187.4   Coal      0     -1  2.6699274e+08       20639.53  7.7303713e-05      6467.9947      1.1249     -1
    13     19      4187.4      5273.6   Coal      0     -1  3.4662831e+08       16526.37  4.7677496e-05      10487.128      1.2072     -1
    13     20      5273.6      6641.6   Coal      0     -1  4.8948991e+08       14226.13  2.9063173e-05      17203.903      1.2888     -1
    13     21      6641.6      8364.4   Coal      0     -1  7.2008995e+08       14675.15  2.0379607e-05       24534.33      1.4934     -1
    13     22      8364.4       10534   Coal      0     -1  1.0659597e+09       17059.08  1.6003494e-05      31243.177      1.6151     -1
    13     23       10534       13267   Coal      0     -1   1.568177e+09       22868.68  1.4582971e-05      34286.566      1.6782     -1
    13     24       13267       16708   Coal      0     -1   2.235908e+09       33782.55  1.5109097e-05      33092.647      2.1037     -1
    13     25       16708       21042   Coal      0     -1  3.0110732e+09       53070.06  1.7624965e-05       28368.85      2.3973     -1
    13     26       21042       26500   Coal      0     -1  3.7377459e+09       79430.57  2.1250928e-05      23528.384      2.5751     -1
    13     27       26500       33374   Coal      0     -1  4.1759694e+09      108164.24  2.5901588e-05      19303.835      3.0176     -1
    13     28       33374       42032   Coal      0     -1  4.2039264e+09      127887.16  3.0420885e-05      16436.077      3.2682     -1
    13     29       42032       52935   Coal      0     -1  3.8486211e+09      132195.36   3.434876e-05      14556.566      3.6331     -1
    13     30       52935       66666   Coal      0     -1  3.2305518e+09      120210.33  3.7210464e-05      13437.081      4.6746     -1
    13     31       66666       1e+99   Coal      0     -1  1.3209364e+10       296513.9   2.244725e-05      22274.443      7.4929     -1
    13     -1           0       1e+99  Delay     -1     -1  2.6400478e+09              0              0              0           1     -1
    13     -1           0       1e+99   LogL     -1     -1              1      -34379384      -34379384              0           1     -1
    13     -1           0       1e+99 Recomb     -1     -1  3.7278843e+14      1206271.8  3.2358081e-09              0      2.5397     -1
    13     -1           0       1e+99 Resamp     -1     -1  2.6400478e+09        2303514  0.00087252739              0           1     -1
    12      0           0          33   Coal      0     -1      628460.22  4.1410324e-41  6.5891719e-47  6.2846022e+35      1.0074     -1
    12      1          33       65.92   Coal      0     -1      1519479.3  8.5384916e-35  5.6193536e-41  1.5192199e+36      1.0083     -1
    12      2       65.92      104.55   Coal      0     -1        2934739  1.0939691e-40  3.7276538e-47   2.934739e+36      1.0088     -1
    12      3      104.55      131.67   Coal      0     -1      2803315.4   9.613294e-32  3.4292587e-38  2.3512502e+36      1.0089     -1
    12      4      131.67      165.83   Coal      0     -1      4420678.5  1.8820147e-28  4.2572982e-35  1.1713418e+34       1.009     -1
    12      5      165.83      208.84   Coal      0     -1      6978426.1      1.9531072   2.798779e-07      1786493.4       1.009     -1
    12      6      208.84      263.02   Coal      0     -1       10984904       3.005625  2.7361414e-07        1827391      1.0091     -1
    12      7      263.02      331.24   Coal      0     -1       17251461      45.918439  2.6617131e-06      187848.95      1.0096     -1
    12      8      331.24      417.17   Coal      0     -1       27089013      216.52845  7.9932202e-06      62553.012      1.0116     -1
    12      9      417.17      525.38   Coal      0     -1       42248383      842.11525  1.9932485e-05       25084.68      1.0125     -1
    12     10      525.38      661.66   Coal      0     -1       64981655      2056.6249  3.1649315e-05       15798.13      1.0166     -1
    12     11      661.66       833.3   Coal      0     -1       95446756      6299.1756  6.5996749e-05      7576.1308      1.0219     -1
    12     12       833.3      1049.5   Coal      0     -1  1.3010402e+08       12679.35  9.7455484e-05      5130.5476      1.0266     -1
    12     13      1049.5      1321.7   Coal      0     -1  1.6244562e+08       20131.22   0.0001239259      4034.6691        1.03     -1
    12     14      1321.7      1664.5   Coal      0     -1  1.8239726e+08        28531.1  0.00015642285      3196.4639      1.0365     -1
    12     15      1664.5      2096.3   Coal      0     -1  1.9081116e+08       29041.22  0.00015219875      3285.1782      1.0463     -1
    12     16      2096.3      2640.1   Coal      0     -1  2.0129424e+08       27039.62  0.00013432883      3722.2091      1.0606     -1
    12     17      2640.1      3324.9   Coal      0     -1  2.2339559e+08       23564.95   0.0001054853       4739.997      1.0717     -1
    12     18      3324.9      4187.4   Coal      0     -1  2.6573091e+08       20583.35  7.7459373e-05      6454.9968       1.117     -1
