  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    15      0           0         133   Coal      0     -1      6590435.5      1.0000295  1.5173952e-07      3295120.4       1.009     -1
    15      1         133      167.44   Coal      0     -1      3455575.3      12.261316  3.5482707e-06      140913.71      1.0088     -1
    15      2      167.44      210.79   Coal      0     -1      5451325.2      77.223505  1.4166006e-05      35295.764      1.0104     -1
    15      3      210.79      265.37   Coal      0     -1      8549447.6      171.16942  2.0021108e-05      24973.642      1.0148     -1
    15      4      265.37      334.09   Coal      0     -1       13339440      400.22282  3.0002971e-05      16665.016      1.0261     -1
    15      5      334.09      420.59   Coal      0     -1       20803674      578.35272  2.7800508e-05      17985.283      1.0349     -1
    15      6      420.59       529.5   Coal      0     -1       32154274      970.44747  3.0180979e-05      16566.726      1.0462     -1
    15      7       529.5       666.6   Coal      0     -1       49224726      1549.0983  3.1469922e-05      15888.187      1.0667     -1
    15      8       666.6       839.2   Coal      0     -1       75109652      1914.8295  2.5493788e-05      19612.621      1.1131     -1
    15      9       839.2      1056.5   Coal      0     -1  1.1346956e+08      3403.0961   2.999127e-05      16671.518       1.144     -1
    15     10      1056.5        1330   Coal      0     -1  1.6910939e+08      4980.9679  2.9454118e-05      16975.555      1.1951     -1
    15     11        1330      1674.4   Coal      0     -1  2.4799416e+08        7727.78  3.1161137e-05      16045.628      1.2495     -1
    15     12      1674.4        2108   Coal      0     -1  3.5659846e+08       11248.53  3.1543967e-05      15850.892      1.3151     -1
    15     13        2108      2653.8   Coal      0     -1  4.9984064e+08       15917.85   3.184585e-05      15700.633      1.4286     -1
    15     14      2653.8        3341   Coal      0     -1  6.9017283e+08       20235.72  2.9319787e-05       17053.33      1.5548     -1
    15     15        3341      4206.1   Coal      0     -1  9.4579235e+08       23252.02  2.4584699e-05      20337.853      1.6836     -1
    15     16      4206.1      5295.2   Coal      0     -1  1.3052661e+09       25727.85  1.9710809e-05      25366.792      1.9743     -1
    15     17      5295.2      6666.2   Coal      0     -1  1.8171337e+09       30024.89  1.6523214e-05      30260.456      2.1569     -1
    15     18      6666.2      8392.3   Coal      0     -1  2.5331696e+09        34863.4  1.3762758e-05      36329.928      2.4813     -1
    15     19      8392.3       10565   Coal      0     -1  3.5186544e+09       44206.67  1.2563516e-05      39797.778      2.7188     -1
    15     20       10565       13301   Coal      0     -1  4.7901518e+09       59888.85  1.2502495e-05      39992.017      3.2714     -1
    15     21       13301       16745   Coal      0     -1  6.2266379e+09       87521.41  1.4055966e-05      35572.084      3.9528     -1
    15     22       16745       21081   Coal      0     -1  7.5062241e+09      123172.19  1.6409341e-05       30470.45      4.5511     -1
    15     23       21081       26539   Coal      0     -1  8.1885503e+09         163889   2.001441e-05      24982.001      5.1297     -1
    15     24       26539       33411   Coal      0     -1  7.9823012e+09      195624.06  2.4507226e-05      20402.146       6.115     -1
    15     25       33411       42063   Coal      0     -1  7.0535876e+09      204936.63   2.905424e-05      17209.192      6.4622     -1
    15     26       42063       52954   Coal      0     -1  5.7951518e+09      196862.34  3.3970178e-05      14718.792       6.812     -1
    15     27       52954       66665   Coal      0     -1  4.5698312e+09       167791.6  3.6717242e-05       13617.58      9.0751     -1
    15     28       66665       83927   Coal      0     -1  3.6499034e+09      124516.63  3.4115048e-05      14656.289      11.028     -1
    15     29       83927  1.0566e+05   Coal      0     -1  3.0940238e+09       84587.65  2.7339044e-05      18288.862      11.036     -1
    15     30  1.0566e+05  1.3302e+05   Coal      0     -1  2.8514428e+09       58269.53  2.0435104e-05      24467.701      15.873     -1
    15     31  1.3302e+05       1e+99   Coal      0     -1  7.8030499e+09      130685.12  1.6747954e-05      29854.393      22.066     -1
    15     -1           0       1e+99  Delay     -1     -1  2.6353365e+09              0              0              0           1     -1
    15     -1           0       1e+99   LogL     -1     -1              1      -54425890      -54425890              0           1     -1
    15     -1           0       1e+99 Recomb     -1     -1           6400  1.9200003e-05  3.0000005e-09              0           1     -1
    15     -1           0       1e+99 Resamp     -1     -1  2.6353365e+09        4238546    0.001608351              0           1     -1
    14      0           0         133   Coal      0     -1      6463086.9  7.7338474e-05  1.1966182e-11  4.1784422e+10      1.0075     -1
    14      1         133      167.44   Coal      0     -1      3392285.5      20.036637  5.9065304e-06      84652.066      1.0099     -1
    14      2      167.44      210.79   Coal      0     -1      5384036.6      85.420954  1.5865597e-05       31514.73      1.0105     -1
    14      3      210.79      265.37   Coal      0     -1      8521296.6      200.47488  2.3526335e-05      21252.779      1.0159     -1
    14      4      265.37      334.09   Coal      0     -1       13273464      383.28419  2.8875974e-05      17315.433      1.0212     -1
    14      5      334.09      420.59   Coal      0     -1       20612411      589.09903  2.8579822e-05      17494.861      1.0342     -1
    14      6      420.59       529.5   Coal      0     -1       31936602        1001.57  3.1361194e-05      15943.271      1.0524     -1
    14      7       529.5       666.6   Coal      0     -1       48811616      1533.1692  3.1409924e-05      15918.536      1.0618     -1
    14      8       666.6       839.2   Coal      0     -1       74420108      1931.2073  2.5950073e-05      19267.768      1.1212     -1
    14      9       839.2      1056.5   Coal      0     -1  1.1277194e+08      3361.0453  2.9803915e-05      16776.319      1.1202     -1
    14     10      1056.5        1330   Coal      0     -1  1.6870158e+08      5058.0153  2.9982027e-05      16676.658      1.1995     -1
    14     11        1330      1674.4   Coal      0     -1  2.4709665e+08        7867.69  3.1840536e-05      15703.253      1.2935     -1
    14     12      1674.4        2108   Coal      0     -1  3.5443594e+08       11199.96  3.1599392e-05      15823.089      1.3692     -1
    14     13        2108      2653.8   Coal      0     -1  4.9825065e+08       15683.33  3.1476788e-05      15884.721      1.4922     -1
    14     14      2653.8        3341   Coal      0     -1  6.8765355e+08       19962.72    2.90302e-05      17223.443      1.6069     -1
    14     15        3341      4206.1   Coal      0     -1  9.4381171e+08       23256.31  2.4640836e-05      20291.519       1.758     -1
    14     16      4206.1      5295.2   Coal      0     -1  1.3068567e+09       25719.21  1.9680207e-05      25406.236      1.8713     -1
    14     17      5295.2      6666.2   Coal      0     -1  1.8207426e+09       29883.98  1.6413072e-05      30463.523       2.123     -1
    14     18      6666.2      8392.3   Coal      0     -1  2.5387416e+09       35092.38  1.3822746e-05      36172.262      2.3785     -1
    14     19      8392.3       10565   Coal      0     -1  3.5309148e+09       44525.87  1.2610293e-05       39650.15      2.8276     -1
    14     20       10565       13301   Coal      0     -1   4.796386e+09        60295.7  1.2571069e-05      39773.865      3.2393     -1
    14     21       13301       16745   Coal      0     -1  6.2190695e+09       88046.07  1.4157435e-05      35317.133      3.7037     -1
    14     22       16745       21081   Coal      0     -1  7.4843754e+09      123463.11  1.6496114e-05      30310.169      4.4821     -1
    14     23       21081       26539   Coal      0     -1  8.1689591e+09      163937.89  2.0068394e-05      24914.799       4.919     -1
    14     24       26539       33411   Coal      0     -1   7.957913e+09      195173.49  2.4525713e-05      20386.767      5.5452     -1
    14     25       33411       42063   Coal      0     -1  7.0351575e+09      204290.68  2.9038537e-05      17218.498      6.5152     -1
    14     26       42063       52954   Coal      0     -1  5.7952778e+09      196364.31  3.3883503e-05      14756.444      7.8789     -1
    14     27       52954       66665   Coal      0     -1  4.5905368e+09      167304.86  3.6445599e-05      13719.078      9.4903     -1
    14     28       66665       83927   Coal      0     -1  3.6764059e+09      124736.76  3.3928996e-05      14736.658      10.595     -1
    14     29       83927  1.0566e+05   Coal      0     -1  3.1156199e+09       85565.51  2.7463398e-05       18206.05      12.281     -1
    14     30  1.0566e+05  1.3302e+05   Coal      0     -1  2.8578163e+09       59057.06    2.06651e-05      24195.383      16.731     -1
    14     31  1.3302e+05       1e+99   Coal      0     -1  7.6455476e+09      129873.75  1.6986847e-05      29434.538      20.984     -1
    14     -1           0       1e+99  Delay     -1     -1  2.6353365e+09              0              0              0           1     -1
    14     -1           0       1e+99   LogL     -1     -1              1      -54425637      -54425637              0           1     -1
    14     -1           0       1e+99 Recomb     -1     -1           6400  1.9200003e-05  3.0000005e-09              0           1     -1
    14     -1           0       1e+99 Resamp     -1     -1  2.6353365e+09        4236202   0.0016074615              0           1     -1
    13      0           0         133   Coal      0     -1      6669062.8  7.0121609e-05  1.0514462e-11   4.755355e+10      1.0076     -1
    13      1         133      167.44   Coal      0     -1      3459802.8      16.165296  4.6723173e-06      107013.28      1.0079     -1
    13      2      167.44      210.79   Coal      0     -1      5461003.6      94.716852  1.7344221e-05      28828.047      1.0111     -1
    13      3      210.79      265.37   Coal      0     -1      8546744.2      190.44994  2.2283333e-05      22438.295      1.0199     -1
