  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    15      0           0          33   Coal      0     -1      556522.51  7.8864108e-52  1.4170875e-57  5.5652251e+35      1.0048     -1
    15      1          33       65.92   Coal      0     -1      1293046.7  3.7414212e-45  2.8934926e-51  1.2930467e+36       1.006     -1
    15      2       65.92      104.55   Coal      0     -1      2448646.2      2.4042658  9.8187555e-07      509229.51      1.0062     -1
    15      3      104.55      131.67   Coal      0     -1      2322234.3      6.0288151  2.5961269e-06      192594.59      1.0063     -1
    15      4      131.67      165.83   Coal      0     -1      3618626.7       18.03183  4.9830591e-06      100339.97      1.0062     -1
    15      5      165.83      208.84   Coal      0     -1      5605721.3      53.038499  9.4614943e-06      52845.775      1.0063     -1
    15      6      208.84      263.02   Coal      0     -1      8726898.4      115.04504   1.318281e-05      37928.182      1.0063     -1
    15      7      263.02      331.24   Coal      0     -1       13531426      381.01222   2.815758e-05      17757.208      1.0065     -1
    15      8      331.24      417.17   Coal      0     -1       20828741      754.20151  3.6209655e-05      13808.472      1.0065     -1
    15      9      417.17      525.38   Coal      0     -1       31948760      935.51153  2.9281623e-05      17075.556      1.0067     -1
    15     10      525.38      661.66   Coal      0     -1       48956904      1473.7623  3.0103257e-05      16609.498      1.0074     -1
    15     11      661.66       833.3   Coal      0     -1       74371350      2353.9072  3.1650725e-05      15797.426      1.0089     -1
    15     12       833.3      1049.5   Coal      0     -1  1.1242842e+08        3071.79  2.7322184e-05      18300.148       1.012     -1
    15     13      1049.5      1321.7   Coal      0     -1  1.6771866e+08      5141.6727  3.0656533e-05      16309.737      1.0211     -1
    15     14      1321.7      1664.5   Coal      0     -1    2.47989e+08      6328.3401  2.5518632e-05      19593.527      1.0318     -1
    15     15      1664.5      2096.3   Coal      0     -1  3.5901289e+08       11351.87  3.1619672e-05      15812.941      1.0334     -1
    15     16      2096.3      2640.1   Coal      0     -1  5.0345202e+08       16248.58  3.2274337e-05      15492.185      1.0487     -1
    15     17      2640.1      3324.9   Coal      0     -1  6.9175369e+08       21311.66  3.0808162e-05      16229.465      1.0901     -1
    15     18      3324.9      4187.4   Coal      0     -1  9.4448959e+08       24345.61  2.5776473e-05      19397.534      1.1178     -1
    15     19      4187.4      5273.6   Coal      0     -1  1.2952659e+09       27421.22   2.117034e-05      23617.949      1.1716     -1
    15     20      5273.6      6641.6   Coal      0     -1  1.7968749e+09       30567.79   1.701164e-05      29391.639      1.1846     -1
    15     21      6641.6      8364.4   Coal      0     -1  2.5271382e+09       34245.86  1.3551242e-05      36896.988      1.2982     -1
